,sent_id,sent,phrase_id,phrase,phrase_span,entity_id,entity,CE,label
0,0,"Cases of renal tubular acidosis should be carefully evaluated to prevent adverse complications, uncover a potentially treatable condition, and prevent the progression to chronic kidney disease.",0,Cases of renal tubular acidosis should be carefully evaluated,"(0, 61)",0,renal tubular acidosis,cause,DISEASE
0,0,"Cases of renal tubular acidosis should be carefully evaluated to prevent adverse complications, uncover a potentially treatable condition, and prevent the progression to chronic kidney disease.",0,prevent the progression to chronic kidney disease,"(143, 192)",0,chronic kidney disease,effect,DISEASE
0,2,Urinary symptoms without infection should lead the physician to consider a diagnosis of IC in SS patients.,0,Urinary symptoms without infection should,"(0, 41)",0,infection,cause,DISEASE
0,2,Urinary symptoms without infection should lead the physician to consider a diagnosis of IC in SS patients.,0,the physician to consider a diagnosis of IC in SS patients,"(47, 105)",0,SS,effect,DISEASE
0,3,"Vascular thrombosis is reported in antiphospholipid antibodies syndrome; cervical lymphadenopathy is seen in adult-onset Still's disease, and neuropathy with thyroiditis reported in mixed connective tissue disorder.",0,Vascular thrombosis,"(0, 19)",0,thrombosis,effect,DISEASE
0,5,Pulmonary arterial hypertension (PAH) is a severe complication and leading cause of mortality in patients with primary Sjogren's syndrome (pSS).,0,Pulmonary arterial hypertension,"(0, 31)",0,Pulmonary arterial hypertension,cause,DISEASE
0,8,Pulmonary arterial hypertension (PAH) is a serious and often fatal complication of connective tissue disease (CTD).,0,Pulmonary arterial hypertension,"(0, 31)",0,Pulmonary arterial hypertension,cause,DISEASE
0,9,Renal involvement observed in patients with rheumatic disease can be the direct result of the disease per se and/or a complication of drugs used in the disease treatment.,1,patients with rheumatic disease,"(30, 61)",0,rheumatic disease,effect,DISEASE
0,10,Renal tubular acidosis is a common cause of normal anion gap metabolic acidosis but these disorders can be easily missed or misdiagnosed.,0,Renal tubular acidosis,"(0, 22)",0,Renal tubular acidosis,cause,DISEASE
0,10,Renal tubular acidosis is a common cause of normal anion gap metabolic acidosis but these disorders can be easily missed or misdiagnosed.,0,anion gap metabolic acidosis,"(51, 79)",0,acidosis,effect,DISEASE
0,11,Pulmonary hypertension (PH) can present as a primary vasculopathy in pulmonary arterial hypertension or in association with ILD (PH-ILD).,0,Pulmonary hyper,"(0, 15)",0,Pulmonary hypertension,cause,DISEASE
0,12,"Underlying cancer included lung (n=12), renal (n=7), melanoma (n=4), and other (n=3) neoplasia.",0,melanoma,"(53, 61)",0,melanoma,cause,DISEASE
0,13,Pulmonary arterial hypertension (PAH) associated with rheumatic diseases carries a particularly grim prognosis with faster progression of disease and poor response to therapy.,0,rheumatic diseases,"(54, 72)",0,rheumatic diseases,cause,DISEASE
0,13,Pulmonary arterial hypertension (PAH) associated with rheumatic diseases carries a particularly grim prognosis with faster progression of disease and poor response to therapy.,0,Pulmonary arterial hypertension,"(0, 31)",0,Pulmonary arterial hypertension,effect,DISEASE
0,14,"Pulmonary arterial hypertension (PAH) is a rare complication, but a significant prognostic factor in patients with Sjogrens syndrome (SjS).",0,Pulmonary arterial hypertension,"(0, 31)",0,Pulmonary arterial hypertension,cause,DISEASE
0,17,"Fibromyalgia (FM) is a rheumatic disease characterised by musculoskeletal pain, chronic diffuse tension and/or stiffness in joints and muscles, fatigue, sleep and emotional disturbances and pressure pain sensitivity in at least 11 of 18 tender points.",1,disease,"(33, 40)",0,rheumatic disease,effect,DISEASE
0,18,"Urinary dilatation occurred in three cases, leading to acute renal failure in two patients.",0,acute renal failure in two patients,"(55, 90)",0,acute renal failure,effect,DISEASE
0,22,Overall results in this single-dose study suggest potent and sustained B cell depletion by ianalumab could provide therapeutic benefits in patients with pSS without major side effects.permissions.,1,could provide therapeutic benefits in patients with pSS without major side effects,"(101, 183)",0,pSS,effect,DISEASE
0,23,The cause of trigeminal neuropathy in MCTD and Sjogren syndrome (SS) is unknown.,0,tri,"(13, 16)",0,trigeminal neuropathy,effect,DISEASE
1,23,The cause of trigeminal neuropathy in MCTD and Sjogren syndrome (SS) is unknown.,1,minal neuropathy in MCTD and Sjogren syndrome,"(18, 63)",0,trigeminal neuropathy,effect,DISEASE
2,23,The cause of trigeminal neuropathy in MCTD and Sjogren syndrome (SS) is unknown.,1,minal neuropathy in MCTD and Sjogren syndrome,"(18, 63)",1,MCTD,effect,DISEASE
3,23,The cause of trigeminal neuropathy in MCTD and Sjogren syndrome (SS) is unknown.,1,minal neuropathy in MCTD and Sjogren syndrome,"(18, 63)",2,Sjogren syndrome,effect,DISEASE
